Meshno,Category,Accuracy,Presicion,NPV,Sensitivity,Specificity,Accuracy,Presicion,NPV,Sensitivity,Specificity,Accuracy,Presicion,NPV,Sensitivity,Specificity
110,Chair,0.973333,1,0.972603,0.5,1,0.925333,0.1,0.947945,0.05,0.974648,0.973333,1,0.972603,0.5,1
111,Chair,0.968,0.9,0.969863,0.45,0.997183,0.925333,0.1,0.947945,0.05,0.974648,0.968,0.9,0.969863,0.45,0.997183
112,Chair,0.968,0.9,0.969863,0.45,0.997183,0.925333,0.1,0.947945,0.05,0.974648,0.968,0.9,0.969863,0.45,0.997183
113,Chair,0.973333,1,0.972603,0.5,1,0.925333,0.1,0.947945,0.05,0.974648,0.973333,1,0.972603,0.5,1
114,Chair,0.930667,0.2,0.950685,0.1,0.977465,0.92,0,0.945205,0,0.971831,0.930667,0.2,0.950685,0.1,0.977465
115,Chair,0.973333,1,0.972603,0.5,1,0.930667,0.2,0.950685,0.1,0.977465,0.973333,1,0.972603,0.5,1
116,Chair,0.973333,1,0.972603,0.5,1,0.930667,0.2,0.950685,0.1,0.977465,0.968,0.9,0.969863,0.45,0.997183
117,Chair,0.930667,0.2,0.950685,0.1,0.977465,0.925333,0.1,0.947945,0.05,0.974648,0.930667,0.2,0.950685,0.1,0.977465
118,Chair,0.962667,0.8,0.967123,0.4,0.994366,0.925333,0.1,0.947945,0.05,0.974648,0.962667,0.8,0.967123,0.4,0.994366
119,Chair,0.973333,1,0.972603,0.5,1,0.925333,0.1,0.947945,0.05,0.974648,0.973333,1,0.972603,0.5,1
120,Chair,0.973333,1,0.972603,0.5,1,0.925333,0.1,0.947945,0.05,0.974648,0.973333,1,0.972603,0.5,1
121,Octopus,0.925333,0.1,0.947945,0.05,0.974648,0.92,0,0.945205,0,0.971831,0.925333,0.1,0.947945,0.05,0.974648
122,Octopus,0.930667,0.2,0.950685,0.1,0.977465,0.92,0,0.945205,0,0.971831,0.930667,0.2,0.950685,0.1,0.977465
123,Octopus,0.92,0,0.945205,0,0.971831,0.925333,0.1,0.947945,0.05,0.974648,0.92,0,0.945205,0,0.971831
124,Octopus,0.946667,0.5,0.958904,0.25,0.985915,0.925333,0.1,0.947945,0.05,0.974648,0.946667,0.5,0.958904,0.25,0.985915
125,Octopus,0.92,0,0.945205,0,0.971831,0.925333,0.1,0.947945,0.05,0.974648,0.92,0,0.945205,0,0.971831
126,Octopus,0.936,0.3,0.953425,0.15,0.980282,0.930667,0.2,0.950685,0.1,0.977465,0.936,0.3,0.953425,0.15,0.980282
127,Octopus,0.930667,0.2,0.950685,0.1,0.977465,0.925333,0.1,0.947945,0.05,0.974648,0.925333,0.1,0.947945,0.05,0.974648
128,Octopus,0.925333,0.1,0.947945,0.05,0.974648,0.92,0,0.945205,0,0.971831,0.925333,0.1,0.947945,0.05,0.974648
129,Octopus,0.941333,0.4,0.956164,0.2,0.983099,0.92,0,0.945205,0,0.971831,0.941333,0.4,0.956164,0.2,0.983099
130,Octopus,0.946667,0.5,0.958904,0.25,0.985915,0.925333,0.1,0.947945,0.05,0.974648,0.941333,0.4,0.956164,0.2,0.983099
131,Octopus,0.92,0,0.945205,0,0.971831,0.92,0,0.945205,0,0.971831,0.925333,0.1,0.947945,0.05,0.974648
132,Octopus,0.92,0,0.945205,0,0.971831,0.92,0,0.945205,0,0.971831,0.92,0,0.945205,0,0.971831
133,Octopus,0.925333,0.1,0.947945,0.05,0.974648,0.92,0,0.945205,0,0.971831,0.925333,0.1,0.947945,0.05,0.974648
134,Octopus,0.930667,0.2,0.950685,0.1,0.977465,0.930667,0.2,0.950685,0.1,0.977465,0.925333,0.1,0.947945,0.05,0.974648
135,Octopus,0.930667,0.2,0.950685,0.1,0.977465,0.925333,0.1,0.947945,0.05,0.974648,0.930667,0.2,0.950685,0.1,0.977465
136,Octopus,0.925333,0.1,0.947945,0.05,0.974648,0.92,0,0.945205,0,0.971831,0.925333,0.1,0.947945,0.05,0.974648
137,Octopus,0.946667,0.5,0.958904,0.25,0.985915,0.925333,0.1,0.947945,0.05,0.974648,0.941333,0.4,0.956164,0.2,0.983099
138,Octopus,0.941333,0.4,0.956164,0.2,0.983099,0.925333,0.1,0.947945,0.05,0.974648,0.941333,0.4,0.956164,0.2,0.983099
139,Octopus,0.930667,0.2,0.950685,0.1,0.977465,0.925333,0.1,0.947945,0.05,0.974648,0.930667,0.2,0.950685,0.1,0.977465
140,Octopus,0.930667,0.2,0.950685,0.1,0.977465,0.925333,0.1,0.947945,0.05,0.974648,0.925333,0.1,0.947945,0.05,0.974648
141,Table,0.952,0.6,0.961644,0.3,0.988732,0.925333,0.1,0.947945,0.05,0.974648,0.952,0.6,0.961644,0.3,0.988732
142,Table,0.936,0.3,0.953425,0.15,0.980282,0.92,0,0.945205,0,0.971831,0.946667,0.5,0.958904,0.25,0.985915
143,Table,0.930667,0.2,0.950685,0.1,0.977465,0.92,0,0.945205,0,0.971831,0.941333,0.4,0.956164,0.2,0.983099
144,Table,0.952,0.6,0.961644,0.3,0.988732,0.925333,0.1,0.947945,0.05,0.974648,0.946667,0.5,0.958904,0.25,0.985915
145,Table,0.957333,0.7,0.964384,0.35,0.991549,0.925333,0.1,0.947945,0.05,0.974648,0.957333,0.7,0.964384,0.35,0.991549
146,Table,0.936,0.3,0.953425,0.15,0.980282,0.92,0,0.945205,0,0.971831,0.936,0.3,0.953425,0.15,0.980282
